callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS80D,4cacb4,A20N,A320-271N,327.45,1482.0,106.8,157.0,1334
SCQ3Q,478dd3,C172,B738W26,891.97,2649.0,29.7,24.0,1201
SVR167,152047,A321,A321-131,536.36,691.0,90.9,340.0,691
FIN5NX,461f31,A319,A319-131,265.94,447.0,53.1,390.0,447
PBD263,151e1b,B738,B738W26,383.96,542.0,71.0,360.0,542
SAS22A,4ac9e3,A20N,A320-271N,529.56,500.0,65.4,318.0,500
SEKHU,4aad15,P28A,B738W26,602.67,1961.0,22.8,22.0,826
DLH5PR,3c65c4,A20N,A320-271N,1420.83,1234.0,138.2,246.0,1179
NOZ8WQ,47a31a,,B738W26,523.72,1443.0,117.1,132.0,1303
SAS409,4acb42,,B738W26,1179.02,1238.0,144.6,308.0,1238
SAS31A,4acaa3,A20N,A320-271N,331.27,1253.0,114.2,137.0,1103
WZZ13WH,471db0,A21N,A321-131,217.2,309.0,38.2,380.0,309
NSZ5352,4aca05,,B738W26,596.84,1826.0,151.2,198.0,1685
POL5460,4aaa18,B429,B738W26,534.99,2939.0,23.8,22.0,783
SEXTE,4ae285,RV10,B738W26,602.43,931.0,48.8,100.0,931
SAS410,4ac9f0,A20N,A320-271N,411.01,1731.0,138.1,193.0,1584
4aa52e,4aa52e,C172,B738W26,711.0,1808.0,30.2,37.0,981
BTI2GA,502d5f,BCS3,A319-131,279.73,399.0,53.0,360.0,399
CSN303,7813bc,B789,B789RR74,214.08,123.0,17.6,380.0,123
SAS533,4cadda,,B738W26,1493.64,1216.0,123.2,239.0,1155
SAS016,4ac9e7,A20N,A320-271N,1068.05,993.0,91.9,221.0,987
SAS1716,45ab50,B738,B738W26,954.12,1325.0,155.8,370.0,1325
SAS083,4ab5d2,AT76,ATR72-600,0.0,1880.0,131.7,86.0,1797
SCQZ3C,4ab349,C172,B738W26,0.0,123.0,0.0,0.0,0
SAS885,4ac9ec,A20N,A320-271N,155.75,217.0,25.9,357.0,217
SAS739,4ca14e,,B738W26,192.64,897.0,57.4,90.0,749
SAS1127,4ab566,AT76,ATR72-600,0.0,1593.0,113.7,168.0,1593
KLM94R,486741,A21N,A321-131,1755.76,1463.0,158.4,245.0,1397
CCA423,7816b5,A359,A350-941,416.54,235.0,33.3,380.0,235
SAS1557,4cac7a,A20N,A320-271N,1354.58,1521.0,165.5,285.0,1467
T7LDT,500197,PA46,B738W26,901.8,1009.0,55.2,205.0,1009
NSZ45F,4aca50,B738,B738W26,872.23,545.0,59.7,289.0,545
SAS096,4ab561,AT76,ATR72-600,0.0,1869.0,105.6,107.0,1710
NSZ2004,4acb02,B738,B738W26,500.63,754.0,96.4,400.0,754
RYR2869,48c229,B738,B738W26,948.32,1416.0,178.3,380.0,1416
SEMNX,4ab5d8,BW6T,B738W26,0.0,1791.0,0.0,0.0,0
AFL1010,151fed,A321,A321-131,177.66,223.0,29.1,340.0,223
FRO684,459a65,SB20,B738W26,697.71,1959.0,133.0,145.0,1820
DLH6VX,3c6595,A319,A319-131,171.15,741.0,35.9,59.0,589
SAS029,4ca660,CRJ9,EMB-190LR,461.13,1563.0,124.8,117.0,1421
SAS1497,4caee0,CRJ9,EMB-190LR,1138.46,1261.0,131.5,213.0,1203
DFL5840,4aab13,,B738W26,0.0,1348.0,0.0,0.0,0
TAY1804,440118,,B738W26,10.18,384.0,2.9,20.0,50
NSZ2616,4aca88,B38M,B738W26,292.6,1516.0,119.1,162.0,1371
SAS121,4ac9f3,A20N,A320-271N,1289.78,1380.0,148.5,258.0,1326
SAS197,4ab5d0,AT76,ATR72-600,0.0,1240.0,98.4,136.0,1240
